design,copy0,copy1,computehistogram,computehistogram_partition,resort,processsymbols,movenodes,assigncodeword,obj1,obj2
0452,2,2,1,2,1,2,1,1,36.825,995
0453,2,2,1,2,1,2,1,2,36.579,1048
0454,2,2,1,2,1,2,2,1,37.284,1090
0455,2,2,1,2,1,2,2,2,36.276,1098
0456,2,2,1,2,2,1,1,1,36.813,1122
0457,2,2,1,2,2,1,1,2,36.528,1158
0458,2,2,1,2,2,1,2,1,37.919,1142
0459,2,2,1,2,2,1,2,2,37.758,1197
0460,2,2,1,2,2,2,1,1,37.511,1141
0461,2,2,1,2,2,2,1,2,36.615,1193
0462,2,2,1,2,2,2,2,1,37.873,1187
0463,2,2,1,2,2,2,2,2,37.208,1257
0464,2,2,1,4,1,1,1,1,37.968,979
0465,2,2,1,4,1,1,1,2,38.006,1039
0466,2,2,1,4,1,1,2,1,37.981,1029
0467,2,2,1,4,1,1,2,2,38.076,1075
0468,2,2,1,4,1,2,1,1,35.340,1020
0469,2,2,1,4,1,2,1,2,35.885,1096
0470,2,2,1,4,1,2,2,1,38.644,1074
0471,2,2,1,4,1,2,2,2,37.586,1103
0472,2,2,1,4,2,1,1,1,36.271,1128
0473,2,2,1,4,2,1,1,2,36.384,1186
0474,2,2,1,4,2,1,2,1,36.299,1173
0475,2,2,1,4,2,1,2,2,35.761,1250
0476,2,2,1,4,2,2,1,1,37.330,1205
0477,2,2,1,4,2,2,1,2,36.202,1253
0478,2,2,1,4,2,2,2,1,36.709,1368
0479,2,2,1,4,2,2,2,2,36.643,1313
0480,2,2,2,1,1,1,1,1,42.238,1100
0481,2,2,2,1,1,1,1,2,43.739,1090
0482,2,2,2,1,1,1,2,1,44.424,1151
0483,2,2,2,1,1,1,2,2,45.224,1192
0484,2,2,2,1,1,2,1,1,44.807,1169
0485,2,2,2,1,1,2,1,2,43.065,1186
0486,2,2,2,1,1,2,2,1,45.522,1196
0487,2,2,2,1,1,2,2,2,42.634,1215
0488,2,2,2,1,2,1,1,1,42.792,1211
0489,2,2,2,1,2,1,1,2,43.771,1251
0490,2,2,2,1,2,1,2,1,47.488,1282
0491,2,2,2,1,2,1,2,2,43.201,1280
0492,2,2,2,1,2,2,1,1,42.975,1243
